,Clue,Answer,Explanation
201,Sign forms — how final couple to hotel are written down in evenings?,NEON LIGHTS,"Definition: Sign
if EL [final couple of letters of hotEL] were written downwards [as in some neon lights] they would be E ON L – which we have to put inside NIGHTS [evenings] – an ingenious construction
"
202,Run large 25,LADDER,"Definition: Run
L [large] ADDER [snake]
"
203,Patent protecting firm — origin of Apple Mac? ,OVERCOAT,"Definition: Mac?
OVERT [patent] round [protecting] CO [firm] + A [first letter – origin – of Apple] – excellent misleading surface and  ‘lift and separate’ construction
"
204,Tricks 16 artist ,CONSTABLE,"Definition: artist
CONS [tricks] + TABLE [board]  simple – and not unfamiliar – charade for artist John
"
205,to drive over playing surface featuring 25s and 12s? ,BOARD,"Definition: playing surface featuring 25s and 12s?
BOA [snake – example of 25] + reversal [over] of DR [drive] for the playing area of the board game Snakes and Ladders
"
206,One doing routine work round large-sized breasts — plastic surgery piece,ODD-JOB MAN,"Definition: One doing routine work
O [round] + DD [large bra size] + JOB [plastic surgery, as in ‘nose job’] + MAN [chess piece]
"
207,Co-star at bad singer ,CASTRATO,"Definition: singer
anagram [bad] of  CO-STAR AT
"
208,"Function pictures, having airbrushed mother, capturing Oscars",COSINE,"Definition: Function
CINE[ma] [pictures] minus [having airbrushed] ma [mother] round [capturing] OS [Oscars]
"
209,Bad US singer at musical introductions,SIGNATURES,"Definition: musical introductions
anagram [bad] of US SINGER AT
"
210,Friend is friendly — not initially,ALLY,"Definition: Friend
[p]ALLY
"
211,Fears tense mistakes,TERRORS,"Definition: Fears
T [tense] + ERRORS [mistakes – two very easy clues in a row]
"
212,Makes beloved Kennedy et al rise regularly,ENDEARS,"Definition: Makes beloved
alternate letters [regularly] of kEnNeDy Et Al RiSe

 
"
213,Visit Bill Oddie’s top bird ,TOURACO,"Definition: bird
TOUR [visit] + AC [bill] + O [first letter – top – of Oddie] – a very nice [and appropriate] ‘lift and separate’ clue for a bird I wasn’t familiar with but the link shows what beautiful creatures they are
"
214,Needed top card holding hearts and diamonds,ACHED,"Definition: Needed
ACE [top card] round [holding] H [hearts] + D [diamonds]
"
215,Turning over while American’s boxing — wrestling ring punch,SANGRIA,"Definition: punch
reversal [turning over] of AS [while] + A [American] round [boxing] anagram [wrestling] of RING – a beautifully disguised definition!
"
216,"Yes, ’70s prog rock band Queen”, one cries ",YELPER,"Definition: one cries
Y [yes] + ELP [Emerson, Lake and Palmer, 70s prog rock band] + ER [Queen] – super surface!
"
217,Record dovetailing IBM company with British type of computer virus ,LOGIC BOMB,"Definition: type of computer virus
LOG [record] + I C B O M  [‘dovetailing’ IBM and CO {company}] + B [British]
"
218,What I try to do  should be OK?,SET FAIR,"Definition: What I try to doshould be OK?
double definition
"
219,25 dished out more cold bacon,MONOCLED COBRA,"Definition: 25
anagram [dished out] of MORE COLD BACON
"
220,"Sugar’s replacement upset on news, outside, hot from The Apprentice’s final",SWEETENER,"Definition: Sugar’s replacement
reversal [upset] of RE [on] + NEWS round [outside] T[h]E [‘hot from the’] + E [final letter of apprenticE – another excellent surface
"
221,Independent supplement dropping extreme characters for picture ,IMAGINE,"Definition: picture
I [independent] + MAG[az]INE [supplement] minus A and Z [extreme characters] – and yet another!
"
222,Bad singer ,JACKSON,"Definition: Bad singer 
cryptic definition, referring to Michael Jackson’s album, ‘Bad‘
"
223,Ring-shaped forms unreasonable — not unusually obese,ANNULAR,"Definition: Ring-shaped
anagram [forms] of UNR[e]A[so]NA[b]L[e] minus anagram [unusually] of obese
"
224," Racer, perhaps, briefly exposed following its profile?",SNAKE,"Definition:  Racer, perhaps
NAKE[d] [briefly exposed] following S [the shape – profile [serpentine] of a snake]
"
225,"Resemble King Edward, say, squeezing fake bust ",TAKE AFTER,"Definition: Resemble
TATER [potato – King Edward say] round [squeezing] anagram [bust] of FAKE – a cheeky surface, alluding to the antics of King Edward VII, maybe
"
226, Union strike ,CLUB,"Definition:  Unionstrike
double definition
"
227,"Half-baked bread out, becoming hard ",OBDURATE,"Definition: hard
anagram [half-baked] of BREAD OUT
"
228," Turn on a river, one that’s great?",AROUSE,"Definition:  Turn on
A R [a river] + OUSE a river that’s great, i.e. the Great Ouse , a river in the East of England
"
229,Schmuck wearing jacket,JERKIN,"Definition: jacket
JERK [schmuck] + IN [wearing]
"
230,"A very wide, short, winding path for a vehicle",DRIVEWAY,"Definition: path for a vehicle
anagram [winding] of A VERY WID[e]
"
231,Rat artist’s dropped as held in trap,BAD EGG,"Definition: Rat
DEG[as] [artist] minus – has dropped – ‘as’, in BAG [trap]
"
232,"Toms Cruise, Selleck or Courtenay, but ___ I don’t want them!",NO THANKS,"Definition: I don’t want them!
NOT [Tom] HANKS – a laugh out loud clue – and a second airing this week for Mr Cruise.
"
233,down Item of furniture‘s pedal wrapped in wire,COFFEE TABLE,"Definition: Item of furniture
OF FEET [pedal, as an adjective – very neat] in CABLE [wire]
"
234,Rosary cursed then? Go on!,BE A DEVIL,"Definition: Go on!
BEAD EVIL [rosary cursed] – a little poetic licence needed here, as a rosary is more than one bead
"
235,"Whale‘s ear boxed by princess, briefly",BELUGA,"Definition: Whale
LUG [ear] in [boxed by] BEA[trice] [princess briefly]
"
236,Mouth of Nile beside separate river,SEVERN,"Definition: river
N [first letter of Nile] after SEVER [separate]
"
237,"Misshapen genitals, funny things?",TAG LINES,"Definition: funny things
anagram [misshapen] of GENITALS: this being a Paul puzzle, I’m quite sure that I’m not the only one to have initially taken this as a cryptic definition and entered something totally different, until the down clues put me right 😉
"
238,"Bowl over, balls knocked back",STUN,"Definition: Bowl over
reversal [knocked back] of NUTS [balls] – and the juxtaposition of these two clues makes me think the misdirection was not simply in my head!
"
239,"Lark about with the milkman, perhaps?",EARLY BIRD,"Definition: Lark
amusing cryptic definition, alluding to the sayings ‘up with the lark’ and ‘the early bird catches the worm’

**Down**
"
240,"A snack attack, you might say?",KNUCKLE SANDWICH,"cryptic definition
"
241,A political victory as before,AGAIN,"Definition: as before
A GAIN
"
242,Squash tournament’s ending — turn to the next chapter?,TREAD ON,"Definition: Squash
T [last letter of tournament] + READ ON [turn to the next chapter?]
"
243,"On a record, one C natural",REALISTIC,"Definition: natural
RE [on] A LIST [a record] + I [one] C
"
244,"What’s produced by injection into stuff, endless disease",CHOLERA,"Definition: disease
HOLE [what’s produced by injection] in CRA[m] [stuff endless]
"
245,Björk finally launches new release,UNSHACKLE,"Definition: release
anagram [new] of K [last letter of BjörK] + LAUNCHES
"
246,Wonder when a former prison staff toilet’s opening,AMAZEMENT,"Definition: Wonder
A MAZEMEN [staff of the former Maze prison] + T [first letter – opening – of Toilet]
"
247,"Child out of venison, Grace cooking beef",GRIEVANCE,"Definition: beef
anagram [cooking] of VENI[son] [child out] + GRACE
"
248,Forgery gets good long time for offence,DUDGEON,"Definition: offence
DUD [forgery] + G [good] + EON [long time]
"
250,Film director dropped in upright character,FELLINI,"Definition: Film director
FELL [dropped] IN I [upright character]
"
251,"Vehicle that’s diseased, you might say?",BUGGY,"Definition: Vehicle
cryptic definition
"
252,In the end smoking grass produces strong desire ,GREED,"Definition: strong desire
G [last letter of smokinG] + REED [grass]
"
253,Unfortunate way of spelling “speshal”,HAPLESS,"Definition: Unfortunate
anagram [way of spelling] of SPESHAL
"
254,Queen and stoic with unending prejudice,ZENOBIA,"Definition: Queen
ZENO [Stoic] + BIA[s] [unending prejudice]
"
255,Distribute grand brandies to one that carries some? ,SAINT BERNARD DOG,"Definition: one that carries some?
clever anagram [distributed] of GRAND BRANDIES TO, referring to the story of the Alpine rescue dogs with a small keg of brandy round their necks [used in Hennessy adverts]
"
256,"With US lawyer about, sign for English play ",DRAMA,"Definition: play
DA [District Attorney – US lawyer] round RAM [English translation of zodiac sign Aries]
"
257,Carp‘s residence in difficulties,PICK HOLES,"Definition: Carp
HO [house – residence] in PICKLES [difficulties] – I was misled by thinking for a while that HOLES were the difficulties
"
258,Queen cat holding one page for the Sun,CLEOPATRA,"Definition: Queen
CAT round [holding] LEO [cat] + P [page] + RA [sun] – a rather more familiar queen
"
259,Father keeps intermediary that eats shoots and leaves ,PANDA,"Definition: that eats shoots and leaves
PA [father] round [keeps] AND [intermediary?]
"
260,Bitter start to a cry from the heart,ACRID,"Definition: Bitter
A CRI D[e coeur] [a cry from the heart]
"
261,Live outside right the same as live outside left? Not likely to last ,BREAKABLE,"Definition: Not likely to last
BE [live] round [outside] R [right] + AKA [also known as – the same] + BE [live] round [outside] L [left]
"
262,Queen with sacred thanksgiving keeping one very quiet,HIPPOLYTA,"Definition: Queen
HOLY [sacred] + TA [thanksgiving] round [keeping] I [one] PP [very quiet] for the queen of the Amazons, who appears in ‘A Midsummer Night’s Dream’, which quite often appears in Araucaria crosswords
"
263,Historian of the West in flower,ROWSE,"Definition: Historian
W [west] in ROSE [flower] for historian A L Rowse
"
264,Displacement of animal organ: is it possible?,MARGINALISATION,"Definition: Displacement
anagram [possible] of ANIMAL ORGAN IS IT
"
265, Desert state‘s currency in order? ,DRYNESS,"Definition:  Desert state
YN [abbreviation of yn – currency] in DRESS [order]
"
266,Fury makes us make a statement about some people,AVENGER,"Definition: Fury
AVER [make a statement] round ENG [English? – some people?]

**Down**
"
267,Ultra-orthodox head of college has a lot of stupidity to start with,HASIDIC,"Definition: Ultra-orthodox
HAS + IDI [a lot[?] of IDI[ocy] – stupidity] + C [first letter – head] of College
"
268, One’s own loo in which to return paper used,PRIVATE PROPERTY,"Definition:  One’s own
anagram [used] of TO RET[urn] PAPER in PRIVY [loo]
"
269,Unable to escape from The Sound of Music?,ENTRAPPED,"Definition: Unable to escape
amusing pun on the von Trapp family, stars of the said musical
"
270,Gamble with broom? ,SWEEP,"Definition: Gamblewith broom?
double[ish] / cryptic definition
"
271,"Queen, last one to go up with old aircraft",ZENOCRATE,"Definition: Queen
Z [last letter] + reversal [to go up] of ONE + CRATE [old aircraft] for the queen in Marlowe’s ‘Tambourlaine’ 
"
272,Function of the man or the woman at the top? ,NORTH,"Definition: at the top?
hidden in maN OR THe
"
273,Supposed force in eastern front covered by flashy stuff causing cricket problem ,BODYLINE BOWLING,"Definition: cricket problem
ODYL [a hypothetical force formerly thought to be responsible for many natural phenomena, such as magnetism, light, and hypnotism] + IN E [in eastern] + BOW [front] in [covered by] BLING [flashy stuff] for this cricketing problem
"
274,Girl golfers’ place on first of month?,AUGUSTA,"Definition: Girlgolfers’ place
double definition and AUGUST [month] + A [first]: I don’t see the need for this rather odd piece of wordplay
"
275,Bill with close to musical for basic pets ,TABBY CATS,"Definition: basic pets
TAB [bill] + BY [close to] + CATS [musical]
"
276,Fire iron to confront what’s kept straight,POKER FACE,"Definition: what’s kept straight
simple charade of POKER [fire iron] + FACE [confront]
"
277,A bogus journalist wishing he hadn’t done it? ,ASHAMED,"Definition: wishing he hadn’t done it?
A SHAM ED
"
278,Queen (English) to depend on gold,ELEANOR,"Definition: Queen
E [English] + LEAN [depend] + OR [gold]
"
279,Express view of piece with four sharps,OPINE,"Definition: Express view
OP [opus -piece  of music] + IN E: the scale of E Major has four sharps
"
280, Soul of American imagery,hidden in americAN IMAgery,"Definition:  Soul
**ANIMA**
"
281," Trapping a number cruncher, jailing one",CAPARISON,"Definition:  Trapping
it’s doubly annoying to fail on the first one, since this is a favourite word of mine: I can see A in PRISON [jailing one] but can’t fit the CA: [I’m not sure of the definition, either: I’ve only seen it in the plural]
"
282,Boatman’s swallowed a number of coins ,MONEY,"Definition: coins
MY [Boatman’s] round [swallowed] ONE [number]
"
283,Metal cruet’s unsavoury effects on flavour ,TINCTURES,"Definition: effects on flavour
TIN [metal] + anagram [unsavoury] of CRUET’S
"
284,A number (not quite 10) held in vulgar shelter,SIXTY,"Definition: A number
!X [9 – not quite 10] in STY [vulgar shelter]
"
